experiment,model,seed,avg_acc,bwt,dataset,pretrained,epochs_per_task,lam,alpha
cifar100_pretrained,baseline,123,20.09,-23.8316,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,baseline,42,20.46,-26.0737,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,baseline,456,20.13,-25.1895,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,ewc,123,19.56,-29.3684,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,ewc,42,19.96,-24.7789,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,ewc,456,19.01,-35.0632,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn_ewc,123,20.22,-0.0421,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn_ewc,42,20.35,0.2842,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn_ewc,456,19.85,-0.4421,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn_lwf,123,19.64,-2.7368,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn_lwf,42,20.66,-0.0421,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn_lwf,456,19.95,-2.0316,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn,123,20.03,-0.5368,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn,42,19.73,-1.5474,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn,456,19.53,-1.1263,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn_si,123,19.69,-0.6421,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn_si,42,20.11,-0.0421,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,hgn_si,456,20.17,0.3053,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,lwf,123,21.08,-26.3474,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,lwf,42,20.34,-28.2632,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,lwf,456,19.81,-33.9368,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,si,123,19.44,-6.6421,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,si,42,20.02,-5.4842,split_cifar100,True,10,0.7,1.2
cifar100_pretrained,si,456,20.14,-5.7474,split_cifar100,True,10,0.7,1.2
cifar100_random_init,baseline,123,21.55,-22.2737,split_cifar100,False,10,0.7,1.2
cifar100_random_init,baseline,42,23.41,-21.3789,split_cifar100,False,10,0.7,1.2
cifar100_random_init,baseline,456,20.68,-24.5895,split_cifar100,False,10,0.7,1.2
cifar100_random_init,ewc,123,20.91,-19.7684,split_cifar100,False,10,0.7,1.2
cifar100_random_init,ewc,42,20.46,-22.5579,split_cifar100,False,10,0.7,1.2
cifar100_random_init,ewc,456,20.95,-20.5158,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn_ewc,123,22.38,-1.2105,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn_ewc,42,21.91,-4.3263,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn_ewc,456,21.72,-3.2105,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn_lwf,123,31.06,-26.1158,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn_lwf,42,31.94,-31.3263,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn_lwf,456,34.15,-30.6737,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn,123,20.77,-18.7158,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn,42,21.1,-16.4947,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn,456,21.51,-15.1053,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn_si,123,19.65,-1.9789,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn_si,42,20.65,-0.0526,split_cifar100,False,10,0.7,1.2
cifar100_random_init,hgn_si,456,20.59,0.2421,split_cifar100,False,10,0.7,1.2
cifar100_random_init,lwf,123,23.84,-45.4,split_cifar100,False,10,0.7,1.2
cifar100_random_init,lwf,42,24.97,-43.8421,split_cifar100,False,10,0.7,1.2
cifar100_random_init,lwf,456,20.03,-47.5684,split_cifar100,False,10,0.7,1.2
cifar100_random_init,si,123,19.55,-5.1053,split_cifar100,False,10,0.7,1.2
cifar100_random_init,si,42,21.1,-6.5368,split_cifar100,False,10,0.7,1.2
cifar100_random_init,si,456,20.73,-7.6632,split_cifar100,False,10,0.7,1.2
